,compound_id,standard_inchi_key,compound_name,synonym,target_id,target_pref_name,gene_names,wildtype_or_mutant,mutation_info,pubmed_id,standard_type,standard_relation,standard_value,standard_units,activity_comment,ep_action_mode,assay_format,assaytype,assay_subtype,inhibitor_type,detection_tech,assay_cell_line,compound_concentration_value,compound_concentration_value_unit,substrate_type,substrate_relation,substrate_value,substrate_units,assay_description,title,journal,doc_type,annotation_comments,pDTC_Value,SMILES,base_rdkit_smiles
11493,CHEMBL715,KVWDHTXUZHCGIO-UHFFFAOYSA-N,OLANZAPINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22931300.0,INHIBITION,,,,Not Determined,,,,,,,,,,,,,,Inhibition of human CYP2C9 assessed as ratio of IC50 in absence of NADPH to IC50 for presence of NADPH using 7-methoxy-4-trifluoromethylcoumarin-3-acetic acid as substrate after 30 mins,Preclinical strategy to reduce clinical hepatotoxicity using in vitro bioactivation data for >200 compounds.,Chem. Res. Toxicol.,PUBLICATION,,,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1
11494,CHEMBL715,KVWDHTXUZHCGIO-UHFFFAOYSA-N,OLANZAPINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1
11495,CHEMBL715,KVWDHTXUZHCGIO-UHFFFAOYSA-N,OLANZAPINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1
12124,CHEMBL2086582,LKMWIEHGNOUIAH-UHFFFAOYSA-N,WAY-361789,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22468936.0,INHIBITION,=,-8.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 using MFC as substrate at 3 uM after 45 mins by Gentest method,"Discovery of a Novel Alpha-7 Nicotinic Acetylcholine Receptor Agonist Series and Characterization of the Potent, Selective, and Orally Efficacious Agonist 5-(4-Acetyl[1,4]diazepan-1-yl)pentanoic Acid [5-(4-Methoxyphenyl)-1H-pyrazol-3-yl] Amide (SEN15924, WAY-361789).",J. Med. Chem.,PUBLICATION,,-8.0,CC(=O)N1CCCN(CC1)CCCCC(=O)NC2=NNC(=C2)C3=CC=C(C=C3)OC,COc1ccc(-c2cc(NC(=O)CCCCN3CCCN(C(C)=O)CC3)n[nH]2)cc1
12198,CHEMBL1083787,LMGUUVWYFJIKCD-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,20465311.0,INHIBITION,=,-17.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 at 3 uM by Gentest method,"Novel alpha-7 nicotinic acetylcholine receptor agonists containing a urea moiety: identification and characterization of the potent, selective, and orally efficacious agonist 1-[6-(4-fluorophenyl)pyridin-3-yl]-3-(4-piperidin-1-ylbutyl) urea (SEN34625/WYE-103914).",J. Med. Chem.,PUBLICATION,,-17.0,C1CCN(CC1)CCCCNC(=O)NC2=CN=C(C=C2)C3=CC=C(C=C3)F,O=C(NCCCCN1CCCCC1)Nc1ccc(-c2ccc(F)cc2)nc1
12235,CHEMBL54,LNEPOXFFQSENCJ-UHFFFAOYSA-N,HALOPERIDOL,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22328583.0,IC50,>,30000.0,NM,,,,,,,,,,,,,,,Inhibition of CYP2C9 in human liver microsomes using diclofenac as substrate after 8 mins by LC-MS/MS analysis,Identifying a selective substrate and inhibitor pair for the evaluation of CYP2J2 activity.,Drug Metab. Dispos.,PUBLICATION,,4.522878745280337,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
12236,CHEMBL54,LNEPOXFFQSENCJ-UHFFFAOYSA-N,HALOPERIDOL,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,23033255.0,IC50,>,50000.0,NM,,,,,,,,,,,,,,,Inhibition of CYP2C9 in human liver microsomes using tolbutamide substrate by LC-MS/MS method,,Drug Metab. Dispos.,PUBLICATION,,4.301029995663981,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
12237,CHEMBL54,LNEPOXFFQSENCJ-UHFFFAOYSA-N,HALOPERIDOL,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,AC50,,,,inactive,,,,,,,,,,,,,,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,PUBCHEM BIOASSAY DATA SET,,DATASET,,,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
12238,CHEMBL54,LNEPOXFFQSENCJ-UHFFFAOYSA-N,HALOPERIDOL,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
12239,CHEMBL54,LNEPOXFFQSENCJ-UHFFFAOYSA-N,HALOPERIDOL,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
12240,CHEMBL54,LNEPOXFFQSENCJ-UHFFFAOYSA-N,HALOPERIDOL,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,POTENCY,=,31622.8,NM,Not Active,,,,,,,,,,,,,,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors and Substrates of Cytochrome P450 2C9. (Class of assay: confirmatory) [Related pubchem assays: 885, 884, 410 ]",PUBCHEM BIOASSAY DATA SET,,DATASET,,4.499999678657065,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
12281,CHEMBL2087438,LOEWGPWXHKYVIM-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22468936.0,INHIBITION,=,-3.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 using MFC as substrate at 3 uM after 45 mins by Gentest method,"Discovery of a Novel Alpha-7 Nicotinic Acetylcholine Receptor Agonist Series and Characterization of the Potent, Selective, and Orally Efficacious Agonist 5-(4-Acetyl[1,4]diazepan-1-yl)pentanoic Acid [5-(4-Methoxyphenyl)-1H-pyrazol-3-yl] Amide (SEN15924, WAY-361789).",J. Med. Chem.,PUBLICATION,,-3.0,C1CCN(CC1)CCCCC(=O)NC2=NNC(=C2)C3=CC=C(C=C3)Cl,O=C(CCCCN1CCCCC1)Nc1cc(-c2ccc(Cl)cc2)[nH]n1
12776,CHEMBL2087456,LZQMVVGBOPZASC-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22468936.0,INHIBITION,=,-2.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 using MFC as substrate at 3 uM after 45 mins by Gentest method,"Discovery of a Novel Alpha-7 Nicotinic Acetylcholine Receptor Agonist Series and Characterization of the Potent, Selective, and Orally Efficacious Agonist 5-(4-Acetyl[1,4]diazepan-1-yl)pentanoic Acid [5-(4-Methoxyphenyl)-1H-pyrazol-3-yl] Amide (SEN15924, WAY-361789).",J. Med. Chem.,PUBLICATION,,-2.0,COC1=CC=C(C=C1)C2=CC(=NN2)NC(=O)CCCCN3CCCCCC3,COc1ccc(-c2cc(NC(=O)CCCCN3CCCCCC3)n[nH]2)cc1
12867,CHEMBL3261481,MBYAMJFNDALRJQ-OAHLLOKOSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,24755431.0,IC50,>,50000.0,NM,,,,,,,,,,,,,,,Inhibition of CYP2C9 (unknown origin),The discovery of diazepinone-based 5-HT3 receptor partial agonists.,Bioorg. Med. Chem. Lett.,PUBLICATION,,4.301029995663981,C1CN2CCC1[C@@H](C2)N3CCN4C5=C(C=CC=C5C3=O)C=N4,O=C1c2cccc3cnn(c23)CCN1[C@@H]1CN2CCC1CC2
13038,CHEMBL289469,MFWNKCLOYSRHCJ-UHFFFAOYSA-N,GRANISETRON,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2
13039,CHEMBL289469,MFWNKCLOYSRHCJ-UHFFFAOYSA-N,GRANISETRON,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2
13148,CHEMBL2087448,MIQNWMJNRQADMN-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22468936.0,INHIBITION,=,-25.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 using MFC as substrate at 3 uM after 45 mins by Gentest method,"Discovery of a Novel Alpha-7 Nicotinic Acetylcholine Receptor Agonist Series and Characterization of the Potent, Selective, and Orally Efficacious Agonist 5-(4-Acetyl[1,4]diazepan-1-yl)pentanoic Acid [5-(4-Methoxyphenyl)-1H-pyrazol-3-yl] Amide (SEN15924, WAY-361789).",J. Med. Chem.,PUBLICATION,,-25.0,C1CCN(CC1)CCCCC(=O)NC2=NNC(=C2)C3=CC=C(C=C3)Br,O=C(CCCCN1CCCCC1)Nc1cc(-c2ccc(Br)cc2)[nH]n1
13324,CHEMBL1084363,MMXFWZCBTFHARB-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,20465311.0,INHIBITION,=,0.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 at 3 uM by Gentest method,"Novel alpha-7 nicotinic acetylcholine receptor agonists containing a urea moiety: identification and characterization of the potent, selective, and orally efficacious agonist 1-[6-(4-fluorophenyl)pyridin-3-yl]-3-(4-piperidin-1-ylbutyl) urea (SEN34625/WYE-103914).",J. Med. Chem.,PUBLICATION,,0.0,C1CCN(CC1)CCCCNC(=O)NC2=CC=C(C=C2)C3=CC=CC=N3,O=C(NCCCCN1CCCCC1)Nc1ccc(-c2ccccn2)cc1
13354,CHEMBL1365455,MNJNPLVXBISNSX-PBWFPOADSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,AC50,,,,inactive,,,,,,,,,,,,,,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,PUBCHEM BIOASSAY DATA SET,,DATASET,,,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C3=CC(=CC(=C3)Cl)Cl,CN1[C@H]2CC[C@@H]1CC(OC(=O)c1cc(Cl)cc(Cl)c1)C2
13424,CHEMBL33884,MOZPSIXKYJUTKI-UHFFFAOYSA-N,GR-113808,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,AC50,,,,inactive,,,,,,,,,,,,,,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,PUBCHEM BIOASSAY DATA SET,,DATASET,,,CN1C=C(C2=CC=CC=C21)C(=O)OCC3CCN(CC3)CCNS(=O)(=O)C,Cn1cc(C(=O)OCC2CCN(CCNS(C)(=O)=O)CC2)c2ccccc21
13425,CHEMBL33884,MOZPSIXKYJUTKI-UHFFFAOYSA-N,GR-113808,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,POTENCY,=,10000.0,NM,Not Active,,,,,,,,,,,,,,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors and Substrates of Cytochrome P450 2C9. (Class of assay: confirmatory) [Related pubchem assays: 885, 884, 410 ]",PUBCHEM BIOASSAY DATA SET,,DATASET,,5.0,CN1C=C(C2=CC=CC=C21)C(=O)OCC3CCN(CC3)CCNS(=O)(=O)C,Cn1cc(C(=O)OCC2CCN(CCNS(C)(=O)=O)CC2)c2ccccc21
13670,CHEMBL2087451,MUFOLRMJGLDINZ-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22468936.0,INHIBITION,=,-33.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 using MFC as substrate at 3 uM after 45 mins by Gentest method,"Discovery of a Novel Alpha-7 Nicotinic Acetylcholine Receptor Agonist Series and Characterization of the Potent, Selective, and Orally Efficacious Agonist 5-(4-Acetyl[1,4]diazepan-1-yl)pentanoic Acid [5-(4-Methoxyphenyl)-1H-pyrazol-3-yl] Amide (SEN15924, WAY-361789).",J. Med. Chem.,PUBLICATION,,-33.0,C1CCN(CC1)CCCCC(=O)NC2=NNC(=C2)C3=CC=CO3,O=C(CCCCN1CCCCC1)Nc1cc(-c2ccco2)[nH]n1
13675,CHEMBL1086332,MUIUUGJVKFYPIF-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,20465311.0,INHIBITION,=,2.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 at 3 uM by Gentest method,"Novel alpha-7 nicotinic acetylcholine receptor agonists containing a urea moiety: identification and characterization of the potent, selective, and orally efficacious agonist 1-[6-(4-fluorophenyl)pyridin-3-yl]-3-(4-piperidin-1-ylbutyl) urea (SEN34625/WYE-103914).",J. Med. Chem.,PUBLICATION,,2.0,C1CCN(CC1)CCCCNC(=O)NC2=CC=C(C=C2)C3=CC=CC=C3,O=C(NCCCCN1CCCCC1)Nc1ccc(-c2ccccc2)cc1
13789,CHEMBL3262144,MXHSBCKYMYQTPI-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,24814197.0,INHIBITION,=,26.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 (unknown origin) at 10 uM,Discovery of Novel 2-((Pyridin-3-yloxy)methyl)piperazines as a7 Nicotinic Acetylcholine Receptor Modulators for the Treatment of Inflammatory Disorders.,J. Med. Chem.,PUBLICATION,,26.0,C1CN(C(CN1)COC2=CN=CC=C2)C3=NC4=C(C=C(C=C4S3)F)F.Cl,Fc1cc(F)c2nc(N3CCNCC3COc3cccnc3)sc2c1
14285,CHEMBL492884,NIJGWJIOMPHDBP-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,18817367.0,ACTIVITY,,,,Not Active,,,,,,,,,,,,,,Inhibition of CYP2C9 upto 10 uM,"Rotationally constrained 2,4-diamino-5,6-disubstituted pyrimidines: a new class of histamine H4 receptor antagonists with improved druglikeness and in vivo efficacy in pain and inflammation models.",J. Med. Chem.,PUBLICATION,,,CN1CCN(CC1)C2=NC(=NC(=C2)C3=CC=CC=C3)N,CN1CCN(c2cc(-c3ccccc3)nc(N)n2)CC1
14336,CHEMBL42055,NJMYODHXAKYRHW-BLLMUTORSA-N,E-FLUPENTIXOL,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,AC50,,,,inactive,,,,,,,,,,,,,,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,PUBCHEM BIOASSAY DATA SET,,DATASET,,,C1CN(CCN1CC/C=C/2\C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,OCCN1CCN(CC/C=C2\c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
14479,CHEMBL2024094,NMIIKXFGCKOYRV-WHOFXGATSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22171543.0,INHIBITION,<=,25.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 up to 10 uM,Chemistry and behavioral studies identify chiral cyclopropanes as selective a4ß2-nicotinic acetylcholine receptor partial agonists exhibiting an antidepressant profile.,J. Med. Chem.,PUBLICATION,,25.0,COCC[C@H]1C[C@@H]1C2=CC(=CN=C2)OC[C@@H]3CCN3,COCC[C@H]1C[C@@H]1c1cncc(OC[C@@H]2CCN2)c1
15319,CHEMBL145725,OGXMGJGFLBSEJW-HNNXBMFYSA-N,RS-16566,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,AC50,=,398.11,NM,Active,,,,,,,,,,,,,,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,PUBCHEM BIOASSAY DATA SET,,DATASET,,6.399996913372259,CC(C)N1C=NC2=C(C=C(C=C21)Cl)C(=O)N[C@H]3CN4CCC3CC4,CC(C)n1cnc2c(C(=O)N[C@H]3CN4CCC3CC4)cc(Cl)cc21
15320,CHEMBL145725,OGXMGJGFLBSEJW-HNNXBMFYSA-N,RS-16566,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,POTENCY,=,398.1,NM,Active,,,,,,,,,,,,,,"PUBCHEM_BIOASSAY: qHTS Assay for Inhibitors and Substrates of Cytochrome P450 2C9. (Class of assay: confirmatory) [Related pubchem assays: 885, 884, 410 ]",PUBCHEM BIOASSAY DATA SET,,DATASET,,6.400007822415902,CC(C)N1C=NC2=C(C=C(C=C21)Cl)C(=O)N[C@H]3CN4CCC3CC4,CC(C)n1cnc2c(C(=O)N[C@H]3CN4CCC3CC4)cc(Cl)cc21
15399,CHEMBL3262125,OIZPYIZBDYGMNM-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,24814197.0,INHIBITION,=,20.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 (unknown origin) at 10 uM,Discovery of Novel 2-((Pyridin-3-yloxy)methyl)piperazines as a7 Nicotinic Acetylcholine Receptor Modulators for the Treatment of Inflammatory Disorders.,J. Med. Chem.,PUBLICATION,,20.0,C1CN(C(CN1)COC2=CN=CC=C2)C3=NC4=CC=CC=C4O3,c1cncc(OCC2CNCCN2c2nc3ccccc3o2)c1
15692,CHEMBL282433,OPNUROKCUBTKLF-UHFFFAOYSA-N,DITOLYLGUANIDINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,AC50,,,,inactive,,,,,,,,,,,,,,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,PUBCHEM BIOASSAY DATA SET,,DATASET,,,CC1=CC=CC=C1NC(=NC2=CC=CC=C2C)N,Cc1ccccc1N=C(N)Nc1ccccc1C
16081,CHEMBL1085379,OXIAXPOOKVTTDN-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,20465311.0,INHIBITION,=,-1.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 at 3 uM by Gentest method,"Novel alpha-7 nicotinic acetylcholine receptor agonists containing a urea moiety: identification and characterization of the potent, selective, and orally efficacious agonist 1-[6-(4-fluorophenyl)pyridin-3-yl]-3-(4-piperidin-1-ylbutyl) urea (SEN34625/WYE-103914).",J. Med. Chem.,PUBLICATION,,-1.0,C1CCN(CC1)CCCCNC(=O)NC2=CC=C(C=C2)C3=CC=CC=C3F,O=C(NCCCCN1CCCCC1)Nc1ccc(-c2ccccc2F)cc1
16519,CHEMBL41543,PHNLCHMJDSSPDQ-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,C1CC2=CC=CC=C2N(C3=CC=CC=C31)C(=O)N,NC(=O)N1c2ccccc2CCc2ccccc21
16520,CHEMBL41543,PHNLCHMJDSSPDQ-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,C1CC2=CC=CC=C2N(C3=CC=CC=C31)C(=O)N,NC(=O)N1c2ccccc2CCc2ccccc21
16679,CHEMBL726,PLDUPXSUYLZYBN-UHFFFAOYSA-N,FLUPHENAZINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,AC50,,,,inactive,,,,,,,,,,,,,,PUBCHEM_BIOASSAY: Cytochrome panel assay with activity outcomes. (Class of assay: other) Panel member name: p450-cyp2c9 Compounds with AC50 equal or less than 10 uM are considered active,PUBCHEM BIOASSAY DATA SET,,DATASET,,,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
16680,CHEMBL726,PLDUPXSUYLZYBN-UHFFFAOYSA-N,FLUPHENAZINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
16681,CHEMBL726,PLDUPXSUYLZYBN-UHFFFAOYSA-N,FLUPHENAZINE,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),,cell_based,,,,,BTI-TN-5B1-4,,,,,,,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DrugMatrix in vitro pharmacology data,,DATASET,,,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
16771,CHEMBL2087457,PNHTUMMCJLWVTR-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22468936.0,INHIBITION,=,-18.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 using MFC as substrate at 3 uM after 45 mins by Gentest method,"Discovery of a Novel Alpha-7 Nicotinic Acetylcholine Receptor Agonist Series and Characterization of the Potent, Selective, and Orally Efficacious Agonist 5-(4-Acetyl[1,4]diazepan-1-yl)pentanoic Acid [5-(4-Methoxyphenyl)-1H-pyrazol-3-yl] Amide (SEN15924, WAY-361789).",J. Med. Chem.,PUBLICATION,,-18.0,COC1=CC=C(C=C1)C2=CC(=NN2)NC(=O)CCCCN3CCCOCC3,COc1ccc(-c2cc(NC(=O)CCCCN3CCCOCC3)n[nH]2)cc1
16828,CHEMBL2087447,POWHTVORLJYXLJ-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,22468936.0,INHIBITION,=,-33.0,%,,,,,,,,,,,,,,,Inhibition of CYP2C9 using MFC as substrate at 3 uM after 45 mins by Gentest method,"Discovery of a Novel Alpha-7 Nicotinic Acetylcholine Receptor Agonist Series and Characterization of the Potent, Selective, and Orally Efficacious Agonist 5-(4-Acetyl[1,4]diazepan-1-yl)pentanoic Acid [5-(4-Methoxyphenyl)-1H-pyrazol-3-yl] Amide (SEN15924, WAY-361789).",J. Med. Chem.,PUBLICATION,,-33.0,C1CCN(CC1)CCCCC(=O)NC2=NNC(=C2)C3=CC=C(C=C3)F,O=C(CCCCN1CCCCC1)Nc1cc(-c2ccc(F)cc2)[nH]n1
16845,CHEMBL1643881,PPGYKWQFGNLYIY-AWEZNQCLSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,21146988.0,IC50,<,10000.0,NM,,,,,,,,,,,,,,,Inhibition of human CYP2C9,Novel serotonin type 3 receptor partial agonists for the potential treatment of irritable bowel syndrome.,Bioorg. Med. Chem. Lett.,PUBLICATION,,5.0,C1CN2CCC1[C@H](C2)N3CC4=C5C(=NN4)C=CC=C5C3=O,O=C1c2cccc3n[nH]c(c23)CN1[C@H]1CN2CCC1CC2
17100,CHEMBL2392692,PVTFEAGMCGMRRS-UHFFFAOYSA-N,,,P11712,CYTOCHROME P450 2C9,CYP2C9,,,23664879.0,IC50,>,33000.0,NM,,,,,,,,,,,,,,,Inhibition of CYP2C9 (unknown origin),"Discovery of 1-(1,3,5-triazin-2-yl)piperidine-4-carboxamides as inhibitors of soluble epoxide hydrolase.",Bioorg. Med. Chem. Lett.,PUBLICATION,,4.481486060122112,CC1=NC(=NC(=N1)N2CCC(CC2)C(=O)NCC3=C(C=C(C=C3)Br)OC(F)(F)F)NC,CNc1nc(C)nc(N2CCC(C(=O)NCc3ccc(Br)cc3OC(F)(F)F)CC2)n1
